District,SubCounty,Parish,Village,SiteID,phase_1,group,games,LatD,LatM,LatS,LongD,LongM,LongS,revised,Latitude,Longitude,PopDate,Pop,HH
Gulu,Odek,Lamola,Akoyo,47,0,0,0,2,38,42.4,32,47,33.9,,2.645111111,32.79275,30-May-08,700,140
Gulu,Odek,Lamola,Aromo,48,0,0,0,2,37,43.5,32,48,48.3,,2.62875,32.81341667,29-Aug-08,605,115
Gulu,Odek,Lamola,Awali,49,0,0,1,2,39,1.3,32,46,44.4,,2.650361111,32.779,30-Aug-08,1189,186
Gulu,Odek,Lamola,Awali Wanglobo,46,0,0,0,2,37,8,32,47,3.2,,2.618888889,32.78422222,,,
Gulu,Odek,Lamola,Dino,51,1,0,0,2,37,23.3,32,44,47.8,,2.623138889,32.74661111,23-Aug-08,1127,216
Gulu,Odek,Lukwor,Bar Olam,54,0,0,1,2,39,39.1,32,39,13.2,,2.660861111,32.65366667,30-Aug-08,671,131
Gulu,Odek,Lukwor,Ogwari,55,0,0,0,2,36,29,32,40,39,1,2.608055556,32.6775,30-Sep-08,336,63
Gulu,Odek,Lukwor,Oratido,52,1,1,1,2,39,54,32,41,52,1,2.665,32.69777778,,,
Gulu,Odek,Lukwor,Oryang,53,1,0,0,2,37,36.7,32,37,14,,2.626861111,32.62055556,,,
Gulu,Odek,Palaro,Lakim,56,0,0,0,2,43,25.1,32,43,43.1,,2.723638889,32.72863889,30-Aug-08,152,30
Gulu,Odek,Palaro,Lamur Oratido,57,1,0,1,2,41,37.3,32,41,38,,2.693694444,32.69388889,30-Aug-08,356,65
Gulu,Odek,Palaro,Odek,58,1,0,0,2,40,57.5,32,43,35.6,,2.682638889,32.72655556,1-Nov-08,1016,203.2
Gulu,Odek,Palaro,Olam,59,0,0,1,2,41,37,32,41,37,,2.693611111,32.69361111,30-Aug-08,618,114
Gulu,Odek,Palaro,Opong Goga,60,1,1,0,2,41,35,32,41,38,1,2.693055556,32.69388889,30-Aug-08,478,82
Kitgum,Nam-Okora,Kalabong,Kalabong Central,61,0,0,0,3,23,51.6,33,21,55,,3.397666667,33.36527778,20-Oct-08,311,43
Kitgum,Nam-Okora,Kalabong,Kalabong West,62,1,0,1,3,23,38.7,33,21,14,,3.394083333,33.35388889,21-Oct-08,395,74
Kitgum,Nam-Okora,Kalabong,Masese,118,0,0,1,3,22,21.4,33,23,7.4,,3.372611111,33.38538889,21-Oct-08,260,72
Kitgum,Nam-Okora,Pagwok,Kako,63,1,0,1,3,21,36.7,33,20,15.2,1,3.360183333,33.33756667,14-Oct-08,526,163
Kitgum,Nam-Okora,Pagwok,Kweyo,64,1,1,0,3,22,17.7,33,19,31,1,3.371583333,33.32526667,15-Oct-08,976,167
Kitgum,Nam-Okora,Pagwok,Ladwogi,65,1,1,1,3,20,53,33,19,43.3,,3.348055556,33.32869444,25-Oct-08,606,115
Kitgum,Nam-Okora,Pagwok,Logum A,66,1,1,1,3,22,11.6,33,16,8.7,,3.369888889,33.26908333,08-Oct-08,715,138
Kitgum,Nam-Okora,Pagwok,Onyala,67,0,0,1,3,22,21.5,33,14,59.5,,3.372638889,33.24986111,09-Oct-08,614,129
Kitgum,Nam-Okora,Pugoda East,Agot Agot,68,0,0,0,3,17,17,33,21,16.1,1,3.28805,33.35448333,17-Oct-08,423,84
Kitgum,Nam-Okora,Pugoda East,Bajere,69,1,0,0,3,17,38.7,33,21,46.1,1,3.294083333,33.36281667,07-Oct-08,396,74
Kitgum,Nam-Okora,Pugoda East,Guda,119,0,0,1,3,18,50.1,33,22,59.1,,3.313916667,33.38308333,12-Oct-08,376,12
Kitgum,Nam-Okora,Pugoda West,Boroboro,70,0,0,1,3,20,4,33,19,2.9,,3.334444444,33.31747222,19-Oct-08,552,95
Kitgum,Nam-Okora,Pugoda West,Lapana,71,1,0,0,3,19,3.2,33,17,25,,3.317555556,33.29027778,21-Oct-08,563,115
Kitgum,Nam-Okora,Pugoda West,Oryang,72,1,0,0,3,20,47.6,33,20,6.9,,3.346555556,33.33525,20-Oct-08,873,180
Kitgum,Omiya Anyima,Akobi,Abaka Dyel,97,1,1,1,3,15,30,33,9,52,,3.258333333,33.16444444,20-Nov-08,574,110
Kitgum,Omiya Anyima,Akobi,Akobi Olwoch,98,0,0,1,3,14,33,33,10,51.4,,3.2425,33.18094444,03-Nov-08,539,96
Kitgum,Omiya Anyima,Akobi,Gwokongwee West,99,0,0,0,3,15,30.2,33,9,14.6,,3.258388889,33.15405556,09-Oct-08,386,85
Kitgum,Omiya Anyima,Akobi,Lagampir,100,0,0,1,3,14,58.1,33,8,51.4,,3.249472222,33.14761111,08-Oct-08,450,100
Kitgum,Omiya Anyima,Akobi,Tee-Odong,101,0,0,1,3,14,32.8,33,10,51.6,,3.242444444,33.181,12-Nov-08,458,86
Kitgum,Omiya Anyima,Melong,Kalele,102,0,0,0,3,12,34.6,33,18,0.7,1,3.209616667,33.30018333,14-Nov-08,508,108
